Fighter,Peak Elo
Marcelo Garcia,1331.11
Gordon Ryan,1293.74
Andre Galvao,1289.14
Vinicius Magalhaes,1266.23
Alexandre Ribeiro,1263.12
Marcus Almeida,1255.27
Leonardo Vieira,1249.54
Royler Gracie,1246.84
Rubens Charles,1244.1
Yuri Simoes,1235.69
Roger Gracie,1235.55
Fabricio Werdum,1233.49
Dean Lister,1229.6
Saulo Ribeiro,1224.1
Ricardo Arona,1222.67
Felipe Pena,1216.96
Marcio Cruz,1213.54
Alexandre de Freitas,1213.13
Pablo Popovitch,1212.59
Rafael Mendes,1207.22
Roberto Abreu,1201.78
Gabrielle Garcia,1199.5
Braulio Estima,1195.66
Keenan Cornelius,1183.07
Ricco Rodriguez,1174.94
Rafael Lovato Jr,1174.55
Ronaldo Souza,1173.84
Renzo Gracie,1173.58
Rany Yahya,1173.06
Joao Assis,1168.54
Jean Jacques Machado,1166.39
Ricardo Almeida,1152.92
Vagner Rocha,1152.83
Jonathan Torres,1152.08
Jose Mario Sperry,1145.58
Demian Maia,1137.59
Augusto Mendes,1136.57
Kaynan Duarte,1136.21
Kron Gracie,1132.46
Rodolfo Vieira,1130.43
Jared Dopp,1124.89
Baret Yoshida,1119.21
Marcio Feitosa,1117.23
Jeff Glover,1115.35
Rodrigo Gracie,1111.78
Joao Gabriel Rocha,1110.43
Orlando Sanchez,1108.21
Lucas Lepri,1103.76
Giancarlo Bodoni,1103.28
Jeff Monson,1102.16
Nick Rodriguez,1100.54
Nicholas Meregali,1094.83
Craig Jones,1093.98
Ricardo Liborio,1093.3
A. Cacareco,1092.38
Davi Ramos,1092.14
Lucas Daniel Barbosa,1090.19
Kade Ruotolo,1089.28
Romulo Barral,1086.55
Vitor Ribeiro,1084.11
Mark Kerr,1082.67
Bianca Basilio,1081.71
Ffion Davies,1081.63
Rousimar Palhares,1079.68
Roberto Traven,1079.58
Josh Hinger,1079.33
Claudio Calasans,1079.21
Paulo Miyao,1079.11
Tarsis Humpreys,1076.98
Diogo Reis,1075.89
Matheus Diniz,1073.7
David Avellan,1071.5
Amy Campo,1066.67
Jake Shields,1062.19
Murilo Santana,1061.99
Gary Tonon,1061.93
Antonio Schembri,1061.72
Jackson Sousa,1061.21
David Terrell,1059.67
Gilbert Burns,1059.59
Vinicius Ferreira,1059.5
Mahamed Aly,1058.27
Gabriel Sousa,1057.6
Gabriel Napao,1056.82
Leonardo Nogueira,1056.67
Robson Moura,1056.64
Jorge Patino,1056.62
Leonardo Santos,1055.87
Matt Serra,1055.67
Lachlan Giles,1054.21
Justin Rader,1051.37
Tim Spriggs,1050.01
Diego Oliveira,1049.44
Rigan Machado,1048.98
Otavio Sousa,1048.51
Joao Miyao,1046.0
Tye Ruotolo,1045.46
Geovanny Martinez,1045.36
Eddie Bravo,1045.25
Robert Drysdale,1044.48
Dante Leon,1044.43
Kennedy Maciel,1043.69
Sergio Moraes,1042.05
Victor Honorio,1041.68
Joshua Cisneros,1041.4
Micael Galvao,1040.42
Beatriz Mesquita,1040.17
Mackenzie Dern,1039.9
Victor Estima,1039.2
Ryan Hall,1038.85
Gregor Gracie,1037.75
Olav Einemo,1037.71
John Hansen,1036.02
Egan Inoue,1035.1
Sean Alvarez,1034.08
Rustam Chsiev,1033.17
Victor Hugo,1033.16
Roosevelt Sousa,1033.0
Brianna Ste-Marie,1026.62
Aaron Johnson,1024.45
Paul Schreiner,1023.12
Hayato Sakurai,1023.0
Oskar Piechota,1023.0
Mateusz Szczecinski,1023.0
Eoghan Oflanagan,1023.0
Kamil Uminski,1023.0
Ana Carolina Vieira,1023.0
Vitor Viana,1023.0
Bianca Mesquita,1023.0
Edward Cummings,1023.0
Marcio Corleta,1023.0
Cassio Francis,1023.0
Ricardo Vieira,1023.0
Kendall Reusing,1023.0
Ethan Crelinsten,1023.0
Abraham Marte Messina,1023.0
Antonio Braga Neto,1023.0
Rafaela Guedes,1022.32
Jon Blank,1021.98
Sam McNally,1021.97
Dillon Danis,1021.57
Gunnar Nelson,1020.0
Kuba Witkowski,1020.0
E. Karpinen,1020.0
Sasha Savko,1020.0
Kareem Barkalev,1020.0
Eoghan OFlannagan,1020.0
Glover Teixeira,1020.0
Gabriel Rollo,1020.0
Roberto Magalhaes,1020.0
Patrick Gaudio,1020.0
Pedro Marinho,1020.0
Pablo Mantovani,1020.0
Marcio Andre Barbosa Junior,1020.0
Lucas Leite,1020.0
Nicky Ryan,1020.0
Mansher Khera,1020.0
Mike Fowler,1019.48
Kyle Griffin,1019.02
Matt Hughes,1018.97
Nicolas Renier,1018.85
Marcelo Mafra,1018.85
Renato Forasieppi Canuto,1018.75
Bruno Frazatto,1018.51
Mason Fowler,1018.45
Sanae Kikuta,1017.96
Flavio Almeida,1017.93
Murilo Bustamante,1017.89
Tito Ortiz,1017.79
Sasha Palvski,1017.77
Vitor Belfort,1017.74
Rolles Gracie,1017.61
Chael Sonnen,1017.0
Ruslam Chsiev,1017.0
Jessica Oliveira,1017.0
Rodrigo Cavaca,1017.0
Kyle Boehm,1017.0
Garth Taylor,1016.77
Mark Robinson,1016.74
Jeremy Skinner,1015.37
Abdurakhman Bilarov,1013.66
AJ Agazarm,1008.88
Gabriel Arges,1005.95
Eduardo Telles,1005.49
Matheus Gabriel Barros,1004.13
Richard Alarcon,1001.7
Amaury Bitetti,1001.15
Celso Vinicius,1000.52
Elder Cruz,1000.15
Max Gimenis,998.04
Rida Haisam,997.1
DeAlonzio Jackson,997.09
Adam Wardzinski,996.59
Fabricio Andrey,995.33
Roberto Jimenez,992.91
Antonio Peinado,991.93
Radoslaw Turek,991.36
Erik Paulson,990.9
Roberto Alencar,990.71
Jamal Peterson,990.03
Shinya Aoki,989.81
Augusto Ferrari,989.7
T. Kosaka,989.67
John Einimo,989.57
Gianni Grippo,989.36
Alexander Trans,989.32
James Puopolo,989.21
Jehad Hamdan,989.19
Michael Groth,989.02
Hannette Staack,988.81
Frank Trigg,988.78
Gerardi Rinaldi,988.58
Travis Lutter,988.58
Penny Thomas,988.35
Fabio Gurgel,988.28
Thomas DeBlass,988.25
Rodney Ellis,988.14
Rodrigo Medeiros,988.13
Trevor Lally,988.04
Vernon White,988.01
R. Babalu,987.85
Amanda Alequin / Santana,987.72
Asa Fuller,987.65
Clark Gracie,987.64
Tammy Griego,987.57
Amanda Santana,987.52
Eric Dahlberg,987.5
Jose Junior,987.47
Jerry Bolander,987.4
Marc,987.39
Marcos Oliveira,987.31
Ryan Gracie,987.18
Sasha Plavski,987.09
Yousef Elzien,987.01
Joao Roque,986.99
Kiuma Kunioku,986.91
M. Yano,986.83
Carlos Barreto,986.7
Tom Lawlor,986.68
Robin Gracie,986.68
Anthony Perosh,986.63
Hideki Shrek,986.42
Yurika Nakakura,986.4
Mike Van,986.16
Ilir Latifi,986.11
Rodrigo Modrias,986.09
Ricardo Moraes,986.04
Kassim Anan,985.98
R. Anderson,985.89
T. Hirono,985.89
M. Perez,985.75
Yukissyu Ozawa,985.72
Chris Bright,985.6
Firas Nakdali,985.59
Ricardo Mesquita,985.58
Wagnney Fabiano,985.53
Marko Helen,985.46
Micah Pittman,985.46
Muhammad Saleh,985.45
Melchor M.,985.41
Morris Clifoni,985.35
Bruno Bastos,985.32
Diego Sanchez,985.32
Fabiano Iha,985.31
Kamil Huminski,985.29
Nate Marquardt,985.29
Ana Carolina,985.2
Chris Weidman,985.19
J. Urholin,985.13
Doorwang Jeon,985.09
Kim Mason,985.07
Talita Alencar,985.05
Mike Whitehead,984.98
Isaque Bahiense,984.97
Sekine Hideki,984.93
Tim Carpenter,984.85
Fernanda Mazelli,984.83
Luke Costello,984.82
Don Ortega,984.74
Mark Bocek,984.71
Eldar Rafigaev,984.7
Dave Menne,984.61
A. Hamlet,984.57
K. Hirate,984.57
Mikey Burnet,984.56
Carlos Newton,984.49
Israel Albuquerque,984.47
Khazmat Stambulov,984.45
Allan Teo,984.44
Hiroshi Nakamura,984.42
James Brasco,984.42
Mario Miranda,984.41
Liu Wen,984.37
Yuki Sasaki,984.36
E. Karppinen,984.29
Carlos Machado,984.24
Joe Gilbert,984.23
Perttu Tepponen,984.22
Rodrigo Caporal,984.12
Isaak Michel,984.12
Juan Valles,984.1
Joe Guilbert,983.98
Mike Martelle,983.98
Luke Griffith,983.98
Reese Andy,983.92
Alison Tremblay,983.87
Erza Lennon,983.81
Ben Askren,983.77
Gabriel Lucas,983.77
Rocky Batastini,983.75
Rikako Yuasa,983.72
Jeon Doo,983.71
Van Arsdale,983.65
Gustavo Dantas,983.62
Piotr Frechowicz,983.61
Ross Nicholls,983.59
Serguei Onishuk,983.58
Tom Bass,983.54
Andreas Olsen,983.52
Chris Wideman,983.48
Joel Tudor,983.43
Stefanie Egger,983.42
David Bielkheden,983.39
Roan Jucao,983.31
Milton Vieira,983.23
Y. Kinishi,983.21
Adrian Serrano,983.13
Valdir Araujo Junior,983.07
Jesse Urholin,983.0
Hideki Sekine,983.0
Keita Iwamoto,983.0
James Poupolo,983.0
Paulo Pinto,983.0
M. Szczecinski,983.0
Devhonte Johnson,983.0
Lucio Lagarto,982.99
Josh Barnet,982.97
T. Suzuki,982.87
Mario Rinaldi,982.87
Elisabeth Clay,982.83
G. Sotiropoulos,982.65
U. Zhakshylyk,982.62
Joey Gilbert,982.57
Felipe Cesar,982.55
Wellington Dias,982.54
Tomasz Narkun,982.53
Hudson Taylor,982.52
Y. Kohsaka,982.5
L. Papadopoulis,982.45
Oleg Taktarov,982.45
Santeri Lilius,982.45
Jia Jang,982.43
Travers Grubb,982.42
Rumina Sato,982.39
Timo-Juhani,982.39
H. Kanehara,982.36
Yuta Shimada,982.36
David Marinakis,982.33
H. Sekine,982.33
George Sotiropoulos,982.33
Janne-Pekka,982.31
Ruan Alvarenga,982.29
Teemu Launis,982.26
Tero Pyylampi,982.23
Karl Webber,982.23
Marshurenko,982.22
Larry Parker,982.16
Renan Sancar,982.02
Bia Mesquita,982.02
Henrique Cardoso,982.0
Talita Treta,981.99
John Salter,981.99
Hector Lombard,981.98
Leonardo Saggioro,981.98
Cole Abate,981.89
Ilir Lafiti,981.86
Akihiro Gono,981.85
Y. Setsenko,981.84
D. Marinakis,981.83
Servio Tulio,981.79
Jose Mario Queiroga,981.77
Elvis Sinosic,981.73
Hidemi Mihara,981.64
Jonathan Satava,981.49
Damon Ramos,981.46
R. Mashurenko,981.42
Luis Roberto,981.42
Shinsho Anzai,981.4
Rob Di,981.4
Wang Yan,981.36
N. Uematsu,981.36
Ryan Harvey,981.32
Chris Brown,981.32
Amir Allam,981.32
Jesseray Childrey,981.32
Gamrot Mateusz,981.32
Leandro Lo,981.29
Mateusz Juskowiak,981.25
Ezra Lenon,981.25
Michelle Nicolini,981.21
Janus Andrejczuk,981.15
Egan Inoe,981.15
Jason Lees,981.15
Jeff Curran,981.15
F. Vasconcelos,981.15
Akira Shoji,981.15
Tezekbaev Rasul,981.14
Kurt Pellegrino,981.14
Martin Brown,981.06
Mario Delgado,981.06
Joaquim Hansen,981.05
Tomasz Janiszewski,981.0
Keith Krikorian,980.97
Ahmad Faraj,980.96
Kit Dale,980.96
Renato Verissimo,980.95
Gabriel Almeida,980.95
Christian Moriarty,980.92
Jamie Ballard,980.89
Yukiyasu Ozawa,980.89
Tomas Szczerek,980.87
Jimmy Freidrich,980.85
Kitner Mendoga,980.82
Luis Orlando,980.75
Sotaro Yamada,980.73
Michael Wilson,980.66
Jon Einemo,980.59
Jorge Santiago,980.52
Paul Ardila-Ibarra,980.4
Elvira Karpinnen,980.39
Alex Negao,980.32
Hanette Staack,980.23
Kouji Kanechika,980.16
Eleftheria Christodoulou,980.14
Chris Brennan,980.09
P. Ardilla,980.08
Mike Mrkulic,980.08
Enson Inoe,980.07
Mayssa Bastos,980.0
Enrico Cocco,980.0
Manu Garcia,980.0
Zbigniew Tyszka,980.0
Abdulkadirov Magomed,980.0
Roman Dolidze,980.0
Dan Manasoiu,980.0
J. Wakabayashi,980.0
Genki Sudo,980.0
Bruno Chavez,980.0
Janne Pietilainen,980.0
Tom Barlow,980.0
Mraz Avdoyan,980.0
Fernando Vieira,980.0
Sanshiro Nakamura,980.0
James Harbison,980.0
Greger Forsel,980.0
Jacob Rodriguez,980.0
Kenta Iwamoto,980.0
E. Elgland,980.0
Robert Sabaruddin,980.0
Mikael Knutsson,980.0
Owen Livesey,980.0
Take Hanai,980.0
Cameron Earle,980.0
Josh Saunders,980.0
Nicholas Renier,980.0
Kamil Wilk,980.0
J. Pietkainen,980.0
Tetsu Hadario,980.0
Urija Faber,980.0
Josh Hayden,980.0
Rodrigo Dib,980.0
Yushin Okami,980.0
Elvira Karppinen,980.0
Joao Costa,980.0
Shane Hill-Taylor,980.0
Oliver Taza,980.0
Ashley Williams,980.0
Sergio Ardila-Ibarra,980.0
Joseph Lee,979.93
Y. Takahito,979.93
Erico Cocco,979.93
Jurie Rachel,979.85
Kari Petola,979.84
Keita Nakamura,979.83
Andy Reese,979.81
Y. Yatso,979.81
Mike Cardosa,979.75
Darrel Moodley,979.75
Jimmy Friedrich,979.75
Gavin Kulper,979.64
T. Pyylampi,979.56
Peter Angerer,979.56
Sim Go,979.55
Eliott Kelly,979.41
Rogent Lorent,979.4
Daniel Simoes,979.39
Hiroyuko Abe,979.38
Elliot Marshal,979.38
Alec Baulding,979.14
F. Capoane,979.08
Yoshiyuki Yoshida,979.03
Jessica Flowers,979.02
Justin Garcia,978.95
Tetsu Suzuko,978.94
Keller Sodhi,978.91
Dennis Hallman,978.9
Dan Martinez,978.85
Ricardo Alves,978.85
Akira Shouji,978.85
Dan Schon,978.83
Michael Perez,978.74
Lee Hyoung,978.72
Eddie Sanchez,978.69
Luis Brito,978.64
Shinzo Ansai,978.6
Tommy Langaker,978.6
Jorge Britto,978.59
Carina Santi,978.57
Matt Lindland,978.52
Caol Uno,978.52
Ben Henderson,978.52
Tetsu Suzuki,978.52
Jason Manly,978.52
Ben Hodgkinson,978.52
Satori Kitaoka,978.52
Youngnam Noh,978.43
Otto Olsen,978.42
Simon Siasi,978.39
Denis Roberts,978.36
Yuji Arai,978.34
Charles Pearson,978.32
Kouhei Yasumi,978.32
Alian Drueco,978.32
Daniel Hortegas,978.32
Y. Ozawa,978.32
Fellipe Andrew,978.32
Pete Williams,978.2
Thomas Halpin,978.15
Gabriel Marangoni,978.13
M. Van,978.12
Eduardo Rios,978.12
Magid Hage,978.12
Jason Brudvik,977.75
I. Praporshchikov,977.69
Miodrag Petkovic,977.67
John Combs,977.51
George St,977.27
Yoshitomi Mishima,977.18
Halm Gocalli,977.16
Fan Yi,977.13
Alexandre Vieira,977.09
Rodrigo Artilheiro,977.08
William Tackett,977.0
Amanda Leve,977.0
Jason Ramsterrer,977.0
Marcio Cromado,977.0
Asadulaev Surkhay,977.0
T. Yano,977.0
D. Hemmings,977.0
Robert Sulski,977.0
Adam Sachnoff,977.0
Jason White,977.0
Adele Fornarino,977.0
Tobias G,977.0
Jayson Patino,977.0
Kaynan D.,977.0
Mateusz Garmot,977.0
Eoghan OFlanagan,977.0
Yuta Sasaki,977.0
Takanori Gomi,977.0
R. Alvarenga,977.0
Giovanna Jara,977.0
Mark Ramos,977.0
Nicollas Renier,977.0
Alexander Savko,977.0
Juskowiak Mateusz,977.0
Jon Hansen,977.0
Abdulaev Ruslan,977.0
A. Zhanpeisov,977.0
Osman Kasimov,977.0
Andy Wang,977.0
Heikki Jussila,977.0
Young-Ahm,977.0
Ben Dyson,977.0
Igor Praporschchikov,977.0
Yuki Ozawa,976.89
Kethe Engen,976.87
Kim Dong,976.83
Nathan Marquardt,976.78
Darren Andy,976.62
Daniel Strauss,976.57
Toshiyuki Oyama,976.3
Julia Maele,975.85
Antoine Joude,975.76
Cristiano Lazzarini,975.68
Takefuni Hanai,975.57
Davis Heart,975.48
Alexandre Jesus,975.48
C. Jones,975.19
Gao Hua,975.14
Akira Soji,974.97
Andy Varela,974.87
Bob Schirmer,974.83
Perttu Terpponnen,974.65
J. Pietlainen,974.63
Tamura,974.62
Livia Giles,974.16
Rodrigo Minotauro,973.99
Mourat Ozov,973.86
Nieman Gracie,973.46
Davion Peterson,973.41
Edwin Najmi,972.77
K. Toida,972.21
Roger Neff,972.2
